configuration,dataset,metric,n_seeds,mean,std,n_pairs,mean_full_minus_ablated,paired_std,full_win_rate,ties,paired_ci95_low,paired_ci95_high,paired_differences
ACVG only,MUTAG,ARI,0,,,0,,,,0,,,[]
ACVG only,MUTAG,Macro-F1,0,,,0,,,,0,,,[]
ACVG only,PTC_MR,ACC,0,,,0,,,,0,,,[]
ACVG only,PTC_MR,NMI,0,,,0,,,,0,,,[]
ACVG only,PTC_MR,ARI,0,,,0,,,,0,,,[]
ACVG only,PTC_MR,Macro-F1,0,,,0,,,,0,,,[]
RDTG only,NCI1,ACC,0,,,0,,,,0,,,[]
RDTG only,NCI1,NMI,0,,,0,,,,0,,,[]
RDTG only,NCI1,ARI,0,,,0,,,,0,,,[]
RDTG only,NCI1,Macro-F1,0,,,0,,,,0,,,[]
RDTG only,Mutagenicity,ACC,0,,,0,,,,0,,,[]
RDTG only,Mutagenicity,NMI,0,,,0,,,,0,,,[]
RDTG only,Mutagenicity,ARI,0,,,0,,,,0,,,[]
RDTG only,Mutagenicity,Macro-F1,0,,,0,,,,0,,,[]
RDTG only,COLLAB,ACC,0,,,0,,,,0,,,[]
RDTG only,COLLAB,NMI,0,,,0,,,,0,,,[]
RDTG only,COLLAB,ARI,0,,,0,,,,0,,,[]
RDTG only,COLLAB,Macro-F1,0,,,0,,,,0,,,[]
RDTG only,MUTAG,ACC,0,,,0,,,,0,,,[]
RDTG only,MUTAG,NMI,0,,,0,,,,0,,,[]
RDTG only,MUTAG,ARI,0,,,0,,,,0,,,[]
RDTG only,MUTAG,Macro-F1,0,,,0,,,,0,,,[]
RDTG only,PTC_MR,ACC,0,,,0,,,,0,,,[]
RDTG only,PTC_MR,NMI,0,,,0,,,,0,,,[]
RDTG only,PTC_MR,ARI,0,,,0,,,,0,,,[]
RDTG only,PTC_MR,Macro-F1,0,,,0,,,,0,,,[]
LTCP only,NCI1,ACC,0,,,0,,,,0,,,[]
LTCP only,NCI1,NMI,0,,,0,,,,0,,,[]
LTCP only,NCI1,ARI,0,,,0,,,,0,,,[]
LTCP only,NCI1,Macro-F1,0,,,0,,,,0,,,[]
LTCP only,Mutagenicity,ACC,0,,,0,,,,0,,,[]
LTCP only,Mutagenicity,NMI,0,,,0,,,,0,,,[]
LTCP only,Mutagenicity,ARI,0,,,0,,,,0,,,[]
LTCP only,Mutagenicity,Macro-F1,0,,,0,,,,0,,,[]
LTCP only,COLLAB,ACC,0,,,0,,,,0,,,[]
LTCP only,COLLAB,NMI,0,,,0,,,,0,,,[]
LTCP only,COLLAB,ARI,0,,,0,,,,0,,,[]
LTCP only,COLLAB,Macro-F1,0,,,0,,,,0,,,[]
LTCP only,MUTAG,ACC,0,,,0,,,,0,,,[]
LTCP only,MUTAG,NMI,0,,,0,,,,0,,,[]
LTCP only,MUTAG,ARI,0,,,0,,,,0,,,[]
LTCP only,MUTAG,Macro-F1,0,,,0,,,,0,,,[]
LTCP only,PTC_MR,ACC,0,,,0,,,,0,,,[]
LTCP only,PTC_MR,NMI,0,,,0,,,,0,,,[]
LTCP only,PTC_MR,ARI,0,,,0,,,,0,,,[]
LTCP only,PTC_MR,Macro-F1,0,,,0,,,,0,,,[]
