configuration,dataset,seed,metric,full,ablated,full_minus_ablated,full_win,tie
Backbone,Mutagenicity,1,ARI,27.84804973705793,28.419682071034877,-0.5716323339769467,0,0
Backbone,Mutagenicity,2,ARI,29.453208564778187,29.81283419215071,-0.3596256273725231,0,0
Backbone,Mutagenicity,0,Macro-F1,76.71126390234483,76.47648352420019,0.23478037814463448,1,0
Backbone,Mutagenicity,1,Macro-F1,76.03865651241942,76.28193256310969,-0.24327605069026959,0,0
Backbone,Mutagenicity,2,Macro-F1,76.79633538209544,76.90761168509478,-0.1112763029993431,0,0
Backbone,COLLAB,0,ACC,73.2,73.17999999999999,0.020000000000010232,1,0
Backbone,COLLAB,1,ACC,73.19999999999999,73.4,-0.20000000000001705,0,0
Backbone,COLLAB,2,ACC,72.08,73.1,-1.019999999999996,0,0
Backbone,COLLAB,0,NMI,28.268969437710883,29.22808473862699,-0.9591153009161069,0,0
Backbone,COLLAB,1,NMI,27.986596806663975,30.216956984796457,-2.230360178132482,0,0
Backbone,COLLAB,2,NMI,27.503735517774334,28.032239585009087,-0.5285040672347527,0,0
Backbone,COLLAB,0,ARI,33.43817721904923,33.19992005149969,0.2382571675495413,1,0
Backbone,COLLAB,1,ARI,33.812240885046776,33.81007255053543,0.002168334511345904,1,0
Backbone,COLLAB,2,ARI,31.453781591735968,33.498897565626194,-2.0451159738902263,0,0
Backbone,COLLAB,0,Macro-F1,70.61227305504114,70.85646751303193,-0.24419445799078687,0,0
Backbone,COLLAB,1,Macro-F1,70.32393443027505,71.25536268574083,-0.9314282554657893,0,0
Backbone,COLLAB,2,Macro-F1,69.63356095071859,70.18215201614812,-0.5485910654295338,0,0
Backbone,MUTAG,0,ACC,85.61877667140826,83.99715504978664,1.621621621621614,1,0
Backbone,MUTAG,1,ACC,85.60455192034141,86.13086770981508,-0.5263157894736707,0,0
Backbone,MUTAG,2,ACC,86.14509246088195,85.14935988620198,0.9957325746799768,1,0
Backbone,MUTAG,0,NMI,43.727535778964274,37.94333361283346,5.784202166130811,1,0
Backbone,MUTAG,1,NMI,42.47874353086153,41.85604945625998,0.6226940746015472,1,0
Backbone,MUTAG,2,NMI,44.06907809644749,40.803589658534506,3.2654884379129854,1,0
Backbone,MUTAG,0,ARI,50.36863968306892,45.698245554275765,4.670394128793156,1,0
Backbone,MUTAG,1,ARI,50.01086103717009,51.49591729244679,-1.485056255276703,0,0
Backbone,MUTAG,2,ARI,51.44317239986536,49.1389103292098,2.304262070655561,1,0
Backbone,MUTAG,0,Macro-F1,84.26959884351322,82.17217746411293,2.097421379400288,1,0
Backbone,MUTAG,1,Macro-F1,83.96868313409139,84.54321453590725,-0.5745314018158609,0,0
Backbone,MUTAG,2,Macro-F1,84.53261267815162,83.93426540249645,0.598347275655172,1,0
Backbone,PTC_MR,0,ACC,58.134453781512605,62.2436974789916,-4.109243697478995,0,0
Backbone,PTC_MR,1,ACC,59.890756302521005,58.73109243697479,1.1596638655462144,1,0
Backbone,PTC_MR,2,ACC,56.10084033613445,58.117647058823536,-2.0168067226890827,0,0
Backbone,PTC_MR,0,NMI,1.942877396633276,5.772019843234448,-3.829142446601172,0,0
Backbone,PTC_MR,1,NMI,2.6068959010750636,3.139735518650537,-0.5328396175754735,0,0
Backbone,PTC_MR,2,NMI,1.9518890544880036,2.032373712888865,-0.08048465840086139,0,0
Backbone,PTC_MR,0,ARI,1.7948295111347128,6.915957917550561,-5.121128406415849,0,0
Backbone,PTC_MR,1,ARI,2.6882792921854723,3.3241923199176355,-0.6359130277321632,0,0
Backbone,PTC_MR,2,ARI,1.772809184264959,1.8348846347046286,-0.062075450439669666,0,0
Backbone,PTC_MR,0,Macro-F1,56.711828123889156,61.45426378376176,-4.742435659872605,0,0
Backbone,PTC_MR,1,Macro-F1,58.9328316975609,57.7018013013678,1.2310303961930984,1,0
Backbone,PTC_MR,2,Macro-F1,54.79053051529006,57.147670741963395,-2.3571402266733372,0,0
