configuration,dataset,seed,status,use_acvg,use_rdtg,use_ltcp,ACC,NMI,ARI,Macro-F1,split_sha256,failed_attempts,duration_seconds,result_path
w/o LTCP,NCI1,1,completed,1,1,0,74.987834513869,19.0510069864359,24.958490670654744,74.96514672247012,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,90.20575636695139,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__NCI1__seed1.json
w/o LTCP,NCI1,2,completed,1,1,0,75.66904152958496,20.171160907713123,26.29206049487859,75.6371791073312,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,140.02002512593754,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__NCI1__seed2.json
w/o LTCP,NCI1,3,pending,1,1,0,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__NCI1__seed3.json
w/o LTCP,NCI1,4,pending,1,1,0,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__NCI1__seed4.json
w/o LTCP,Mutagenicity,0,completed,1,1,0,76.89510407831987,21.789999851677408,28.977470312677156,76.54529958678931,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,118.39039690117352,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__Mutagenicity__seed0.json
w/o LTCP,Mutagenicity,1,completed,1,1,0,76.61929619881528,21.140209180866,28.26259378019578,76.27405163209212,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,99.0540929841809,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__Mutagenicity__seed1.json
w/o LTCP,Mutagenicity,2,completed,1,1,0,76.82643083632965,21.52443431981181,28.73057371086501,76.46321096263664,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,116.4602189778816,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__Mutagenicity__seed2.json
w/o LTCP,Mutagenicity,3,pending,1,1,0,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__Mutagenicity__seed3.json
w/o LTCP,Mutagenicity,4,pending,1,1,0,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__Mutagenicity__seed4.json
w/o LTCP,COLLAB,0,completed,1,1,0,72.73999999999998,28.77317007503526,32.726843539878665,69.69130993459595,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1525.0375922790263,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__COLLAB__seed0.json
w/o LTCP,COLLAB,1,completed,1,1,0,72.92,28.230274240663913,32.99174599392553,70.57338429481413,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1676.0469891580287,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__COLLAB__seed1.json
w/o LTCP,COLLAB,2,completed,1,1,0,73.7,29.705593038053728,34.26463492189092,70.92931919877947,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1682.1237759292126,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__COLLAB__seed2.json
w/o LTCP,COLLAB,3,pending,1,1,0,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__COLLAB__seed3.json
w/o LTCP,COLLAB,4,pending,1,1,0,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__COLLAB__seed4.json
w/o LTCP,MUTAG,0,completed,1,1,0,82.95874822190612,35.85194915755248,42.085368837674125,81.17394908775984,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,9.961693234974518,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__MUTAG__seed0.json
w/o LTCP,MUTAG,1,completed,1,1,0,84.01137980085349,37.9445275097985,45.66625097832433,82.12104081619856,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,11.946281000040472,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__MUTAG__seed1.json
w/o LTCP,MUTAG,2,completed,1,1,0,84.55192034139402,40.729103654429764,47.10580792130038,82.81983909809996,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,8.625687025021762,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__MUTAG__seed2.json
w/o LTCP,MUTAG,3,pending,1,1,0,,,,,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__MUTAG__seed3.json
